Date,Type,Sub Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #,Total,Currency
2026-04-02T15:00:00-0500,Receive Deliver,Expiration,SELL_TO_CLOSE,WPM   260402C00180000,Equity Option,Removal of 4.0 WPM 04/02/26 Call 180.00 due to expiration.,0.00,4,0.00,--,0.00,100,WPM,WPM,4/02/26,180,CALL,,0.00,USD
2026-03-30T12:47:15-0500,Trade,Buy to Close,BUY_TO_CLOSE,QQQ   260430C00615000,Equity Option,Bought 1 QQQ 04/30/26 Call 615.00 @ 1.21,-121.00,1,-121.00,0.00,-0.12,100,QQQ,QQQ,4/30/26,615,CALL,450613785,-121.12,USD
2026-03-30T12:47:15-0500,Trade,Sell to Open,SELL_TO_OPEN,QQQ   260430C00590000,Equity Option,Sold 1 QQQ 04/30/26 Call 590.00 @ 6.42,642.00,1,642.00,-1.00,-0.12,100,QQQ,QQQ,4/30/26,590,CALL,450613785,640.88,USD
2026-03-30T12:47:15-0500,Trade,Sell to Close,SELL_TO_CLOSE,QQQ   260430C00620000,Equity Option,Sold 1 QQQ 04/30/26 Call 620.00 @ 0.78,78.00,1,78.00,0.00,-0.12,100,QQQ,QQQ,4/30/26,620,CALL,450613785,77.88,USD
2026-03-30T12:47:15-0500,Trade,Buy to Open,BUY_TO_OPEN,QQQ   260430C00595000,Equity Option,Bought 1 QQQ 04/30/26 Call 595.00 @ 4.92,-492.00,1,-492.00,-1.00,-0.12,100,QQQ,QQQ,4/30/26,595,CALL,450613785,-493.12,USD
2026-03-28T13:57:57-0500,Money Movement,Balance Adjustment,,,,Regulatory fee adjustment,-0.02,0,,--,0.00,,,,,,,,-0.02,USD
2026-03-25T10:25:56-0500,Trade,Buy to Open,BUY_TO_OPEN,QQQ   260430P00560000,Equity Option,Bought 1 QQQ 04/30/26 Put 560.00 @ 8.95,-895.00,1,-895.00,-1.00,-0.12,100,QQQ,QQQ,4/30/26,560,PUT,449463509,-896.12,USD
2026-03-25T10:25:56-0500,Trade,Buy to Open,BUY_TO_OPEN,QQQ   260430C00620000,Equity Option,Bought 1 QQQ 04/30/26 Call 620.00 @ 4.20,-420.00,1,-420.00,-1.00,-0.12,100,QQQ,QQQ,4/30/26,620,CALL,449463509,-421.12,USD
2026-03-25T10:25:56-0500,Trade,Sell to Open,SELL_TO_OPEN,QQQ   260430P00565000,Equity Option,Sold 1 QQQ 04/30/26 Put 565.00 @ 10.02,"1,002.00",1,"1,002.00",-1.00,-0.12,100,QQQ,QQQ,4/30/26,565,PUT,449463509,"1,000.88",USD
2026-03-25T10:25:56-0500,Trade,Sell to Open,SELL_TO_OPEN,QQQ   260430C00615000,Equity Option,Sold 1 QQQ 04/30/26 Call 615.00 @ 5.81,581.00,1,581.00,-1.00,-0.12,100,QQQ,QQQ,4/30/26,615,CALL,449463509,579.88,USD
2026-03-25T10:06:28-0500,Trade,Sell to Close,SELL_TO_CLOSE,GLW   260402C00175000,Equity Option,Sold 3 GLW 04/02/26 Call 175.00 @ 0.43,129.00,3,43.00,0.00,-0.38,100,GLW,GLW,4/02/26,175,CALL,449455674,128.62,USD
2026-03-25T10:06:28-0500,Trade,Sell to Close,SELL_TO_CLOSE,GLW   260402C00175000,Equity Option,Sold 2 GLW 04/02/26 Call 175.00 @ 0.43,86.00,2,43.00,0.00,-0.26,100,GLW,GLW,4/02/26,175,CALL,449455674,85.74,USD
2026-03-23T08:57:32-0500,Trade,Buy to Open,BUY_TO_OPEN,SPY   260430P00622000,Equity Option,Bought 3 SPY 04/30/26 Put 622.00 @ 6.77,"-2,031.00",3,-677.00,-3.00,-0.37,100,SPY,SPY,4/30/26,622,PUT,448746434,"-2,034.37",USD
2026-03-23T08:57:32-0500,Trade,Buy to Open,BUY_TO_OPEN,SPY   260430C00695000,Equity Option,Bought 3 SPY 04/30/26 Call 695.00 @ 2.72,-816.00,3,-272.00,-3.00,-0.37,100,SPY,SPY,4/30/26,695,CALL,448746434,-819.37,USD
2026-03-23T08:57:32-0500,Trade,Sell to Open,SELL_TO_OPEN,SPY   260430P00627000,Equity Option,Sold 3 SPY 04/30/26 Put 627.00 @ 7.59,"2,277.00",3,759.00,-3.00,-0.38,100,SPY,SPY,4/30/26,627,PUT,448746434,"2,273.62",USD
2026-03-23T08:57:32-0500,Trade,Sell to Open,SELL_TO_OPEN,SPY   260430C00690000,Equity Option,Sold 3 SPY 04/30/26 Call 690.00 @ 3.99,"1,197.00",3,399.00,-3.00,-0.38,100,SPY,SPY,4/30/26,690,CALL,448746434,"1,193.62",USD
2026-03-23T08:52:33-0500,Trade,Sell to Close,SELL_TO_CLOSE,VRT   260402C00295000,Equity Option,Sold 2 VRT 04/02/26 Call 295.00 @ 2.34,468.00,2,234.00,0.00,-0.26,100,VRT,VRT,4/02/26,295,CALL,448739614,467.74,USD
2026-03-23T08:52:33-0500,Trade,Sell to Close,SELL_TO_CLOSE,VRT   260402C00295000,Equity Option,Sold 2 VRT 04/02/26 Call 295.00 @ 2.34,468.00,2,234.00,0.00,-0.26,100,VRT,VRT,4/02/26,295,CALL,448739614,467.74,USD